state_name,year,industry_code,industry_title,annual_avg_estabs_count,annual_avg_emplvl,total_annual_wages,avg_annual_pay,lq_avg_annual_pay,lq_annual_avg_emplvl
Alabama,1997,10,"Total, all industries",101781,1489210,38492304633,25847,0.99,0.97
Alaska,2024,10,"10 Total, all industries",23401,253589,18125555395,71476,0.99,0.9
Alaska,1990,511110,Newspaper publishers,29,1367,30206512,22104,0.75,1.39
California,2014,10,"Total, all industries",1338292,13501711,789944400751,58507,0.99,1.01
California,2004,511110,Newspaper publishers,746,32359,1422596863,43964,1.01,0.75
Colorado,2007,10,"Total, all industries",175442,1934618,88289525378,45637,1.01,1.0
Delaware,2004,511110,Newspaper publishers,21,1115,38975085,34966,0.85,0.93
Tennessee,2003,511110,Newspaper publishers,178,8159,226686088,27783,0.83,1.05
Texas,2021,10,"10 Total, all industries",752347,10641008,713959234451,67095,1.01,1.0
Texas,2021,511110,NAICS 511110 Newspaper publishers,439,5527,326552368,59082,0.95,0.62
Utah,2023,10,"10 Total, all industries",131617,1437279,91947875389,63974,1.0,0.99
Vermont,2008,511110,Newspaper publishers,50,1054,31222951,29637,0.81,1.45
Washington,1995,511110,Newspaper publishers,219,8950,221159454,24710,0.92,1.04
Washington,1999,511110,Newspaper publishers,201,9754,289960480,29728,0.84,1.13
West Virginia,2015,10,"Total, all industries",46184,559172,22887777535,40932,0.98,0.95
Wisconsin,2020,10,"10 Total, all industries",170628,2365625,127517207048,53904,1.0,1.02
Alabama,2000,511110,Newspaper publishers,139,4253,128002749,30099,1.06,0.71
Alabama,2018,511110,NAICS 511110 Newspaper publishers,130,1893,79377951,41923,0.96,0.96
Arizona,1998,10,"Total, all industries",109493,1777442,51237586707,28827,0.99,1.01
Arizona,2016,511110,NAICS 511110 Newspaper publishers,90,2868,131829362,45962,1.03,0.86
California,2010,511110,Newspaper publishers,603,17721,875283715,49392,1.0,0.62
California,2024,513110,NAICS 513110 Newspaper publishers,496,6532,587277862,89907,0.92,0.62
Colorado,2018,511110,NAICS 511110 Newspaper publishers,125,2535,125271565,49412,0.91,0.95
Connecticut,2019,511110,NAICS 511110 Newspaper publishers,50,1581,74946078,47419,0.72,1.07
Delaware,2002,10,"Total, all industries",25390,347690,13731536366,39494,1.0,1.03
Delaware,2001,511110,Newspaper publishers,18,1110,34615057,31173,0.84,0.88
Florida,2008,10,"Total, all industries",612691,6586203,260881634685,39610,0.98,1.02
Montana,1998,10,"Total, all industries",33632,293542,6382259966,21742,0.96,0.95
Nevada,2014,511110,Newspaper publishers,40,885,38643916,43682,1.06,0.5
New Hampshire,2013,511110,Newspaper publishers,45,1223,45217429,36965,0.82,1.24
New Jersey,2010,511110,Newspaper publishers,179,8093,469346558,57994,1.11,1.1
New Jersey,2018,511110,NAICS 511110 Newspaper publishers,133,4106,289398615,70482,1.16,1.01
New Mexico,2019,511110,NAICS 511110 Newspaper publishers,43,832,31002167,37247,0.84,1.12
Ohio,1997,10,"Total, all industries",265490,4572881,131694275163,28799,1.0,1.02
Ohio,2023,10,"10 Total, all industries",321911,4757108,298282240110,62702,0.99,1.01
Oregon,2018,511110,NAICS 511110 Newspaper publishers,104,1950,77200319,39588,0.81,1.01
Pennsylvania,2014,10,"Total, all industries",333013,4961421,249590720073,50306,1.0,1.04
Pennsylvania,2008,511110,Newspaper publishers,327,17305,699404060,40417,0.95,1.27
South Carolina,1996,10,"Total, all industries",89733,1369767,32401760476,23655,1.0,0.99
South Dakota,2008,10,"Total, all industries",28163,327034,10606080495,32431,0.99,0.98
South Dakota,2012,10,"Total, all industries",28968,329141,11949830758,36306,1.0,0.98
South Dakota,2021,10,"10 Total, all industries",34119,356870,18481345645,51787,1.0,0.97
Tennessee,1998,511110,Newspaper publishers,190,8442,203391542,24093,0.85,0.97
Alabama,2002,10,"Total, all industries",106272,1492477,45554714634,30523,0.99,0.97
Alabama,2009,10,"Total, all industries",111269,1462992,56079286328,38332,0.98,0.96
Arizona,2024,513110,NAICS 513110 Newspaper publishers,94,1450,82334932,56779,0.76,0.78
California,1991,10,"Total, all industries",817759,10751450,288837981824,26865,0.99,1.01
Colorado,2024,10,"10 Total, all industries",246249,2435701,198321205996,81423,1.01,0.98
Connecticut,1992,511110,Newspaper publishers,120,7033,183415168,26080,0.81,1.19
Connecticut,2015,511110,Newspaper publishers,67,2418,112509350,46533,0.78,1.07
Florida,2001,10,"Total, all industries",448336,6153547,190992858779,31038,0.99,1.02
